Date,Product,Category,Quantity,Price
2025-01-01,Notebook,Stationery,120,40
2025-01-01,Pen,Stationery,300,10
2025-01-01,Bag,Accessories,45,350
2025-01-01,Water Bottle,Accessories,80,150

2025-02-01,Notebook,Stationery,140,40
2025-02-01,Pen,Stationery,310,10
2025-02-01,Bag,Accessories,40,350
2025-02-01,Water Bottle,Accessories,90,150

2025-03-01,Notebook,Stationery,160,40
2025-03-01,Pen,Stationery,330,10
2025-03-01,Bag,Accessories,55,350
2025-03-01,Water Bottle,Accessories,95,150

2025-04-01,Notebook,Stationery,155,40
2025-04-01,Pen,Stationery,345,10
2025-04-01,Bag,Accessories,50,350
2025-04-01,Water Bottle,Accessories,100,150

2025-05-01,Notebook,Stationery,170,40
2025-05-01,Pen,Stationery,360,10
2025-05-01,Bag,Accessories,60,350
2025-05-01,Water Bottle,Accessories,110,150

2025-06-01,Notebook,Stationery,165,40
2025-06-01,Pen,Stationery,350,10
2025-06-01,Bag,Accessories,48,350
2025-06-01,Water Bottle,Accessories,105,150

2025-07-01,Notebook,Stationery,180,40
2025-07-01,Pen,Stationery,370,10
2025-07-01,Bag,Accessories,52,350
2025-07-01,Water Bottle,Accessories,120,150

2025-08-01,Notebook,Stationery,175,40
2025-08-01,Pen,Stationery,365,10
2025-08-01,Bag,Accessories,49,350
2025-08-01,Water Bottle,Accessories,115,150

2025-09-01,Notebook,Stationery,190,40
2025-09-01,Pen,Stationery,380,10
2025-09-01,Bag,Accessories,58,350
2025-09-01,Water Bottle,Accessories,130,150

2025-10-01,Notebook,Stationery,200,40
2025-10-01,Pen,Stationery,395,10
2025-10-01,Bag,Accessories,65,350
2025-10-01,Water Bottle,Accessories,140,150

2025-11-01,Notebook,Stationery,210,40
2025-11-01,Pen,Stationery,400,10
2025-11-01,Bag,Accessories,70,350
2025-11-01,Water Bottle,Accessories,150,150

2025-12-01,Notebook,Stationery,230,40
2025-12-01,Pen,Stationery,420,10
2025-12-01,Bag,Accessories,75,350
2025-12-01,Water Bottle,Accessories,160,150
